subcategory_name,item_title,item_page_link,preview_img_link,price,preview_local_link
APPLE,Apple iPhone 14 Pro Max 1TB,https://kdmarket.ru/catalog/phones/apple_iphone_14_pro_max_1tb__silver,https://kdmarket.ru/upload/iblock/494/4941779e036bb4c8f79f68d831eb349c.png,157 490 ₽,.phones_img_preview/4941779e036bb4c8f79f68d831eb349c.png
APPLE,Apple iPhone 14 Pro Max 512GB,https://kdmarket.ru/catalog/phones/apple_iphone_14_pro_max_512gb__gold,https://kdmarket.ru/upload/iblock/63f/63f58d2f4dd70b2a1b31dc8a5c28643e.png,138 990 ₽,.phones_img_preview/63f58d2f4dd70b2a1b31dc8a5c28643e.png
APPLE,Apple iPhone 14 Pro Max 256GB,https://kdmarket.ru/catalog/phones/apple_iphone_14_pro_max_256gb__violet,https://kdmarket.ru/upload/iblock/817/81797279fe9e4ee853b6e172829255e9.jpeg,115 990 ₽,.phones_img_preview/81797279fe9e4ee853b6e172829255e9.jpeg
APPLE,Apple iPhone 14 Pro Max 256GB 2 sim,https://kdmarket.ru/catalog/phones/apple_iphone_14_pro_max_256gb_2_sim__graphit,https://kdmarket.ru/upload/iblock/bf1/bf1bdbe2fbacf899f6eb0d345c670eb8.jpeg,116 490 ₽,.phones_img_preview/bf1bdbe2fbacf899f6eb0d345c670eb8.jpeg
